ProdTaken,Age,CityTier,DurationOfPitch,NumberOfFollowups,ProductPitched,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,MonthlyIncome
0,-1.1349705580613758,3,0.07377049180327869,3,1,3,2,0,2,0.23266242142550012
0,-0.011739234733121834,1,0.008196721311475405,3,2,3,2,0,3,0.21470546079977068
1,0.43755329459817977,1,0.10655737704918032,3,4,3,2,0,4,0.3434243125371117
0,-0.34870863173159805,3,0.07377049180327869,3,2,3,1,0,5,0.19009398226826923
0,-0.011739234733121834,1,0.1639344262295082,3,0,4,5,0,4,0.17426646737238682
0,0.9991689562623067,3,0.04918032786885246,3,2,3,5,1,5,0.20242019697373
0,-0.23638549939877262,1,0.07377049180327869,2,0,3,2,0,5,0.1665574643215463
1,1.2238152209279576,1,0.008196721311475405,4,1,3,1,1,5,0.19841724851041176
1,-0.011739234733121834,1,0.04918032786885246,3,0,3,2,1,2,0.17855607199164603
0,0.774522691596656,3,0.008196721311475405,3,2,5,6,1,2,0.19916460205982925
0,-0.23638549939877262,1,0.09836065573770493,4,1,5,3,1,5,0.24451770101762935
0,-0.011739234733121834,3,0.19672131147540983,4,2,3,1,1,2,0.21470546079977068
0,-0.4610317640644234,1,0.008196721311475405,3,1,3,2,1,2,0.2811073117795205
0,-0.23638549939877262,3,0.1557377049180328,3,1,5,2,0,4,0.23617395933577676
0,-0.011739234733121834,1,0.19672131147540983,3,0,5,4,1,4,0.21470546079977068
0,-0.6856780287300742,1,0.06557377049180328,3,2,3,4,0,3,0.20388419091299986
0,-0.011739234733121834,1,0.008196721311475405,4,2,3,2,0,5,0.20468273306169252
0,-0.5733548963972488,1,0.008196721311475405,3,2,3,2,1,4,0.20641290771719323
0,0.10058389759970357,1,0.24590163934426235,3,2,3,2,0,3,0.16796003194168596
0,1.4484614855936084,1,0.06557377049180328,4,4,3,6,1,4,0.33518294805380944
0,2.459369676589037,3,0.21311475409836067,3,1,5,1,0,3,0.22151354450336821
0,-0.12406236706594724,1,0.07377049180327869,3,1,3,2,0,4,0.24668809762689656
0,2.0100771472577352,1,0.07377049180327869,3,3,3,3,1,3,0.29439587215135443
0,-0.12406236706594724,1,0.09836065573770493,4,2,4,2,0,4,0.20986301930833967
0,0.8868458239294814,1,0.06557377049180328,3,1,5,3,0,3,0.24287966584082396
0,-0.23638549939877262,1,0.008196721311475405,3,0,5,5,0,2,0.16578963533241878
1,-0.011739234733121834,1,0.0819672131147541,4,0,3,1,1,2,0.17801347283932922
0,2.459369676589037,3,0.008196721311475405,4,2,3,1,0,5,0.1993591187370749
0,-0.9103242933957251,1,0.02459016393442623,3,0,4,1,0,4,0.17100063473863103
0,-0.6856780287300742,1,0.008196721311475405,3,0,4,2,0,3,0.16893261532791418
0,-0.5733548963972488,1,0.008196721311475405,3,2,4,2,0,3,0.2070066954687852
0,-0.12406236706594724,1,0.05737704918032786,2,2,3,4,0,2,0.17443027089006738
0,-0.6856780287300742,1,0.07377049180327869,3,2,3,2,0,5,0.21470546079977068
0,-0.23638549939877262,3,0.07377049180327869,4,2,5,1,0,2,0.21470546079977068
0,0.8868458239294814,1,0.05737704918032786,3,1,5,5,1,3,0.27892667745039823
0,-0.011739234733121834,1,0.06557377049180328,3,1,3,5,0,2,0.28321628206965743
0,0.9991689562623067,2,0.04918032786885246,4,2,4,1,1,5,0.19473166936259959
0,-0.7980011610628996,1,0.008196721311475405,4,2,3,2,1,2,0.19580662994737813
0,-0.23638549939877262,1,0.008196721311475405,4,0,3,2,0,4,0.1725977190360163
0,2.0100771472577352,3,0.008196721311475405,3,1,3,4,0,2,0.24815209156616638
0,0.10058389759970357,1,0.05737704918032786,5,2,3,1,1,2,0.19788488707795002
0,-0.34870863173159805,1,0.07377049180327869,3,2,4,2,0,5,0.21470546079977068
0,2.1224002795905608,1,0.06557377049180328,5,1,3,5,0,2,0.21765392411802045
0,-1.5842630873926775,3,0.02459016393442623,3,0,5,4,0,3,0.1671000634738631
0,1.5607846179264337,1,0.0819672131147541,3,0,3,4,0,3,0.16457134666966974
0,-0.011739234733121834,1,0.02459016393442623,4,2,3,2,0,4,0.21470546079977068
1,0.9991689562623067,3,0.0819672131147541,4,1,3,2,0,5,0.2418047052560454
0,0.3252301622653544,1,0.008196721311475405,4,3,4,2,0,2,0.28156800917299696
0,1.5607846179264337,3,0.18032786885245905,3,2,3,1,1,5,0.1990315117017138
0,-0.7980011610628996,3,0.04098360655737705,4,2,4,2,1,3,0.19665636069534595
0,0.9991689562623067,1,0.008196721311475405,4,1,5,3,1,2,0.25259526198325105
0,-0.5733548963972488,3,0.05737704918032786,4,2,3,2,0,5,0.1946190544441942
0,1.89775401492491,1,0.02459016393442623,3,1,3,1,0,4,0.28203894428632853
0,-1.471939955059852,3,0.032786885245901634,4,2,3,1,0,4,0.19450643952578883
0,-0.011739234733121834,3,0.04098360655737705,3,2,3,2,0,2,0.21470546079977068
0,2.3470465442562114,3,0.09016393442622951,3,3,3,1,0,3,0.28534572779950446
0,0.774522691596656,1,0.19672131147540983,3,2,4,5,0,3,0.16423350191445363
1,-0.011739234733121834,2,0.05737704918032786,3,0,5,5,1,2,0.16455087122995968
0,-0.5733548963972488,1,0.008196721311475405,3,0,5,2,0,2,0.1735907778619546
1,-1.9212324843911537,1,0.05737704918032786,4,0,3,2,1,2,0.17328364626630358
0,-0.34870863173159805,1,0.07377049180327869,3,2,3,2,0,3,0.1925612727533324
0,-0.011739234733121834,1,0.02459016393442623,4,2,3,6,0,2,0.19618542558201438
0,2.459369676589037,2,0.02459016393442623,4,4,3,1,0,2,0.336247670918733
0,1.4484614855936084,1,0.008196721311475405,3,4,4,4,1,2,0.3293679231761502
1,-1.3596168227270267,3,0.04918032786885246,4,2,3,2,1,3,0.20213354081778906
0,-1.3596168227270267,1,0.06557377049180328,4,0,3,2,0,2,0.17290485063166733
0,-1.6965862197255028,1,0.13114754098360654,3,0,3,2,0,2,0.1727205716742767
0,1.5607846179264337,1,0.008196721311475405,4,1,5,4,0,2,0.21994717336554803
1,-0.34870863173159805,1,0.06557377049180328,5,2,3,2,1,5,0.20551198836995024
0,1.89775401492491,2,0.2213114754098361,2,3,3,3,1,3,0.3207272876185016
0,-1.471939955059852,1,0.1557377049180328,3,0,3,1,0,4,0.17172751284833843
0,-0.34870863173159805,1,0.07377049180327869,4,2,4,7,0,3,0.18944900591740207
0,-0.011739234733121834,3,0.032786885245901634,3,1,3,3,0,3,0.21937386105366613
0,-0.34870863173159805,1,0.04918032786885246,4,1,5,3,0,2,0.2624029976043735
0,-0.12406236706594724,3,0.09836065573770493,3,1,3,1,0,5,0.24302299391879442
0,-0.12406236706594724,1,0.032786885245901634,3,0,3,6,0,2,0.1723520137594955
0,0.6621995592638306,3,0.2213114754098361,3,3,3,2,1,2,0.3169495689919941
0,-0.7980011610628996,1,0.19672131147540983,5,0,3,2,0,3,0.17007923995167798
0,-0.4610317640644234,3,0.1885245901639344,3,2,4,1,0,2,0.2062491041995127
1,2.1224002795905608,1,0.12295081967213116,4,0,4,1,1,5,0.19413788161100762
0,1.5607846179264337,1,0.05737704918032786,3,4,3,1,0,5,0.34334241077827143
1,-0.6856780287300742,3,0.05737704918032786,5,2,3,5,1,3,0.20651528491574359
0,-1.2472936903942013,1,0.05737704918032786,4,0,4,2,0,3,0.16757099858719468
1,2.3470465442562114,1,0.19672131147540983,3,1,3,2,0,3,0.24889944511558384
1,-2.033555616723979,3,0.1885245901639344,3,0,3,2,1,2,0.1604762587276562
0,-1.6965862197255028,1,0.02459016393442623,3,0,3,1,0,5,0.16915784516472493
0,1.336138353260783,1,0.17213114754098363,3,2,5,2,0,2,0.21055918425848197
0,0.6621995592638306,1,0.07377049180327869,2,0,3,5,0,3,0.19184463236348
0,1.4484614855936084,3,0.10655737704918032,3,1,3,5,0,5,0.23759700239562645
1,-0.6856780287300742,3,0.07377049180327869,5,2,3,4,1,3,0.1900018427895739
0,0.43755329459817977,3,0.0819672131147541,3,1,3,4,1,2,0.22716476586334694
0,-1.2472936903942013,2,0.21311475409836067,3,0,3,2,0,4,0.17344744978398413
0,-0.12406236706594724,1,0.05737704918032786,4,2,4,7,0,4,0.19391265177419686
1,1.5607846179264337,1,0.07377049180327869,5,1,3,3,0,2,0.2523597944265853
0,0.21290702993252897,3,0.04098360655737705,4,2,3,5,0,5,0.20375110055488443
0,-1.3596168227270267,3,0.23770491803278693,4,2,3,3,0,4,0.23177173979811216
0,-0.7980011610628996,2,0.0819672131147541,3,2,3,1,1,3,0.2083068858903745
1,-0.011739234733121834,1,0.0819672131147541,3,0,5,1,0,4,0.21470546079977068
0,-0.011739234733121834,1,0.24590163934426235,3,0,3,6,0,2,0.17866868691005142
0,0.10058389759970357,1,0.032786885245901634,3,2,3,4,1,5,0.0
0,-0.7980011610628996,1,0.1557377049180328,3,0,3,2,0,2,0.1702737566289236
0,-0.5733548963972488,3,0.07377049180327869,5,2,3,1,0,2,0.19111775425377261
0,-0.7980011610628996,1,0.04918032786885246,3,0,5,6,0,5,0.176129732386003
0,-0.7980011610628996,1,0.02459016393442623,4,0,3,1,0,4,0.1711746759761666
0,0.43755329459817977,1,0.09016393442622951,4,3,5,5,0,2,0.3192223427998116
0,0.43755329459817977,1,0.0819672131147541,3,0,5,3,0,2,0.16624009500604026
0,-2.033555616723979,1,0.032786885245901634,3,0,4,2,0,3,0.15851061651548967
0,0.3252301622653544,1,0.2213114754098361,3,2,4,2,0,2,0.20071049775793937
0,-0.23638549939877262,3,0.008196721311475405,3,1,4,2,0,4,0.21801224431294663
0,1.7854308825920846,3,0.05737704918032786,3,2,3,3,1,5,0.16693625995618258
0,0.8868458239294814,1,0.0819672131147541,3,2,4,1,0,4,0.167366244190094
0,-0.5733548963972488,3,0.07377049180327869,3,1,3,2,0,4,0.23544708122606933
0,-0.9103242933957251,1,0.07377049180327869,3,2,3,2,0,3,0.21470546079977068
0,1.5607846179264337,1,0.06557377049180328,4,2,3,3,0,3,0.2061057761215422
0,2.3470465442562114,1,0.0819672131147541,4,0,4,5,1,2,0.1775834886054178
0,0.3252301622653544,3,0.04098360655737705,4,1,3,1,0,2,0.2544585269968672
0,-0.34870863173159805,3,0.02459016393442623,3,0,3,7,0,5,0.16616843096705503
0,-1.6965862197255028,1,0.1639344262295082,3,0,3,2,0,2,0.16711030119371814
0,-1.1349705580613758,1,0.0819672131147541,3,0,4,7,0,3,0.164049222957063
0,-1.0226474257285505,1,0.18032786885245905,3,0,3,2,0,2,0.17110301193718136
0,2.2347234119233863,1,0.20491803278688525,2,1,3,4,1,4,0.2399619156821393
0,-1.1349705580613758,1,0.032786885245901634,4,0,3,2,1,2,0.16959806711849137
0,0.43755329459817977,1,0.12295081967213116,3,0,3,5,0,4,0.16842072933516247
0,-0.7980011610628996,3,0.04918032786885246,3,1,3,3,0,4,0.2397571612850386
0,0.10058389759970357,3,0.008196721311475405,4,2,3,5,0,2,0.23225291263129877
0,-0.5733548963972488,1,0.05737704918032786,3,0,3,4,0,2,0.17443027089006738
0,-1.1349705580613758,1,0.14754098360655737,3,0,4,1,1,4,0.17463502528716804
1,-2.033555616723979,3,0.008196721311475405,5,0,5,1,0,3,0.1671307766334282
0,-0.12406236706594724,1,0.032786885245901634,3,0,4,5,0,4,0.16470443702778517
0,-0.7980011610628996,1,0.0819672131147541,3,2,5,2,0,2,0.17477835336513853
0,0.8868458239294814,3,0.04098360655737705,4,2,5,5,1,4,0.19457810356477406
0,2.1224002795905608,1,0.07377049180327869,3,0,5,5,1,4,0.21470546079977068
0,-0.4610317640644234,1,0.02459016393442623,3,0,3,1,0,3,0.16892237760805914
1,-2.033555616723979,1,0.02459016393442623,4,0,3,2,0,5,0.15461004525072178
0,0.9991689562623067,3,0.008196721311475405,3,1,5,2,0,2,0.25034296361514363
0,0.10058389759970357,1,0.0819672131147541,3,0,3,2,0,2,0.16675198099879196
0,-0.011739234733121834,1,0.10655737704918032,3,0,3,1,1,4,0.21470546079977068
0,-0.34870863173159805,1,0.2295081967213115,3,0,4,3,0,3,0.16698744855545775
1,0.43755329459817977,3,0.17213114754098363,3,0,4,2,1,4,0.17547451831528083
0,-0.011739234733121834,1,0.008196721311475405,4,0,3,3,0,3,0.18110526423554946
0,1.7854308825920846,1,0.07377049180327869,2,2,5,2,0,2,0.21470546079977068
0,-0.4610317640644234,1,0.12295081967213116,3,0,4,2,0,5,0.1715432338909478
0,0.3252301622653544,1,0.04098360655737705,3,4,3,2,0,5,0.3381825999713344
0,2.0100771472577352,1,0.12295081967213116,2,4,4,1,0,2,0.33499866909641884
0,-0.34870863173159805,1,0.02459016393442623,4,2,3,2,0,4,0.24106758942648296
0,1.5607846179264337,1,0.032786885245901634,3,3,4,4,0,5,0.2839329224595098
0,-1.1349705580613758,1,0.0819672131147541,3,0,4,2,0,3,0.16665984152009666
1,-0.23638549939877262,1,0.19672131147540983,4,2,3,4,1,4,0.2038944286328549
0,0.6621995592638306,1,0.06557377049180328,2,0,3,5,0,4,0.1647146747476402
0,0.8868458239294814,1,0.02459016393442623,4,3,3,1,0,4,0.31523986977620344
0,-0.011739234733121834,1,0.18032786885245905,2,0,5,2,1,3,0.1798153115338152
0,-0.23638549939877262,1,0.07377049180327869,3,2,4,6,0,2,0.21470546079977068
0,0.5498764269310051,1,0.18032786885245905,3,2,3,3,0,2,0.19722967300722785
0,0.10058389759970357,1,0.02459016393442623,3,2,3,1,0,2,0.21041585618051148
0,0.10058389759970357,1,0.24590163934426235,3,2,3,4,0,2,0.2074264419828416
0,-1.1349705580613758,1,0.07377049180327869,4,2,5,6,0,3,0.21470546079977068
0,1.336138353260783,1,0.1557377049180328,3,2,3,2,1,2,0.212985523864125
0,-0.011739234733121834,1,0.09016393442622951,3,0,3,2,1,3,0.21470546079977068
0,0.3252301622653544,1,0.1639344262295082,3,2,3,1,1,2,0.1713896680931223
1,0.10058389759970357,1,0.24590163934426235,3,2,5,1,1,3,0.21164438256311555
1,-0.9103242933957251,3,0.2295081967213115,3,1,3,2,0,3,0.22153401994307828
0,-1.6965862197255028,1,0.04918032786885246,2,0,4,2,1,4,0.1671614897929933
0,-0.12406236706594724,1,0.1557377049180328,3,0,3,2,0,3,0.16536988881836237
0,0.3252301622653544,1,0.07377049180327869,4,2,3,1,0,5,0.19324719998361967
0,0.9991689562623067,1,0.008196721311475405,3,1,5,1,0,2,0.23952169372837284
1,-0.5733548963972488,3,0.04098360655737705,5,1,3,2,0,2,0.24980036446282686
0,-0.7980011610628996,1,0.008196721311475405,4,1,3,2,0,5,0.23008251602203159
0,-1.1349705580613758,3,0.17213114754098363,3,2,3,2,0,2,0.24551075984356766
0,1.5607846179264337,1,0.07377049180327869,4,1,4,6,0,3,0.2711971989598477
1,-0.7980011610628996,1,0.032786885245901634,3,0,5,6,1,4,0.17052969962529946
0,0.43755329459817977,3,0.05737704918032786,3,1,3,4,1,2,0.28246892852023997
1,-0.7980011610628996,3,0.2213114754098361,4,2,5,6,0,2,0.21187985011978133
1,-0.9103242933957251,1,0.008196721311475405,3,0,3,1,0,2,0.16439730543213416
0,0.8868458239294814,3,0.05737704918032786,4,1,3,7,0,4,0.23408546448534984
0,1.89775401492491,3,0.032786885245901634,3,2,5,3,0,4,0.20414013390937572
0,-0.12406236706594724,1,0.04918032786885246,3,2,4,1,0,2,0.20387395319314483
0,-0.4610317640644234,1,0.04098360655737705,4,0,4,7,0,4,0.17017137943037328
0,-0.011739234733121834,1,0.09836065573770493,3,1,3,2,1,3,0.2680746944040623
0,0.10058389759970357,3,0.032786885245901634,3,1,3,1,0,2,0.2519400479125289
0,2.459369676589037,1,0.032786885245901634,4,0,3,4,0,3,0.1656155940948832
0,-0.011739234733121834,3,0.04098360655737705,3,0,3,5,0,4,0.1656155940948832
0,-0.9103242933957251,3,0.008196721311475405,3,1,3,2,0,3,0.22439034378263276
0,-0.23638549939877262,3,0.008196721311475405,3,1,3,2,0,5,0.23330739777636725
1,-0.9103242933957251,1,0.1557377049180328,4,0,3,2,1,3,0.16778599070415037
0,1.673107750259259,1,0.02459016393442623,4,0,3,1,0,3,0.17621163414484328
0,0.5498764269310051,1,0.04098360655737705,3,4,3,2,0,2,0.3402199062224861
0,2.459369676589037,2,0.05737704918032786,3,0,3,1,0,4,0.16653698888183624
0,1.4484614855936084,3,0.008196721311475405,3,4,3,4,0,2,0.3431376563811708
1,-0.4610317640644234,1,0.12295081967213116,3,0,3,6,1,2,0.16826716353733698
0,0.6621995592638306,3,0.13934426229508196,3,3,3,6,1,3,0.3077868097217388
1,-0.4610317640644234,1,0.02459016393442623,3,0,5,1,0,3,0.17104158561805116
0,1.673107750259259,3,0.02459016393442623,4,4,3,2,1,2,0.3385409201662606
0,-0.011739234733121834,3,0.04098360655737705,3,0,4,3,0,3,0.21470546079977068
1,-0.011739234733121834,1,0.008196721311475405,4,0,3,1,1,5,0.21470546079977068
0,0.21290702993252897,1,0.008196721311475405,3,0,3,1,0,3,0.16617866868691006
0,-0.5733548963972488,3,0.07377049180327869,3,2,3,1,0,4,0.21470546079977068
0,0.43755329459817977,1,0.1639344262295082,3,2,5,3,0,2,0.17477835336513853
0,0.3252301622653544,1,0.20491803278688525,3,2,3,2,0,3,0.1773070701693319
0,0.8868458239294814,1,0.008196721311475405,2,4,3,1,0,4,0.3399127746268351
0,-0.6856780287300742,1,0.032786885245901634,3,1,3,1,0,4,0.2833288969880628
0,-0.4610317640644234,1,0.04918032786885246,4,0,3,2,0,2,0.17313008046847808
0,-0.34870863173159805,1,0.02459016393442623,4,2,5,7,0,4,0.2043141751469113
0,-0.011739234733121834,1,0.008196721311475405,4,0,5,3,0,4,0.21470546079977068
0,0.8868458239294814,1,0.06557377049180328,2,2,3,5,0,2,0.20919756751776244
1,-0.011739234733121834,1,0.09016393442622951,3,1,3,7,0,3,0.24619668707385492
0,0.21290702993252897,1,0.02459016393442623,3,1,3,1,0,2,0.25530825774483507
0,-0.9103242933957251,1,0.13114754098360654,3,0,3,2,0,3,0.16728434243125373
0,0.5498764269310051,1,0.14754098360655737,2,2,5,4,1,2,0.21033395442167122
0,-0.9103242933957251,3,0.17213114754098363,3,2,3,3,0,2,0.2142857142857143
0,-1.3596168227270267,1,0.07377049180327869,3,2,3,1,0,3,0.1934724298204304
0,0.5498764269310051,1,0.02459016393442623,4,0,5,1,1,4,0.1698744855545773
0,0.3252301622653544,1,0.02459016393442623,3,4,3,1,0,5,0.34230840107291305
0,1.5607846179264337,1,0.008196721311475405,3,0,3,2,0,4,0.1712053891357317
1,-0.011739234733121834,1,0.24590163934426235,4,0,4,1,0,3,0.1789451053461373
0,-0.5733548963972488,1,0.06557377049180328,2,0,4,2,0,2,0.1719322672454391
0,0.10058389759970357,3,0.02459016393442623,4,2,3,4,0,5,0.1970658694895473
0,-0.5733548963972488,1,0.02459016393442623,4,2,5,5,0,4,0.16560535637502816
0,0.9991689562623067,3,0.02459016393442623,5,3,4,4,1,5,0.31605888736460613
1,-0.011739234733121834,1,0.02459016393442623,3,0,3,3,0,4,0.17900653166526753
0,-0.9103242933957251,3,0.02459016393442623,4,2,4,3,0,4,0.21134748868731956
0,-0.6856780287300742,1,0.19672131147540983,4,2,3,1,0,3,0.20047503020127358
0,-0.011739234733121834,1,0.04918032786885246,2,2,5,2,0,5,0.21470546079977068
0,0.8868458239294814,1,0.17213114754098363,3,3,3,1,1,3,0.2814963451340117
0,-0.12406236706594724,1,0.05737704918032786,3,0,3,1,0,5,0.17619115870513322
0,2.0100771472577352,1,0.008196721311475405,3,4,5,1,1,2,0.33830545260959477
1,1.1114920885951323,1,0.24590163934426235,3,1,4,2,1,3,0.26463482053277093
0,-1.0226474257285505,1,0.0819672131147541,3,0,3,2,0,2,0.16452015807039458
0,-0.011739234733121834,3,0.05737704918032786,3,2,3,5,0,3,0.20989373246790477
0,-1.8089093520583281,1,0.032786885245901634,4,0,3,2,0,5,0.17639591310223388
0,-0.011739234733121834,1,0.008196721311475405,3,1,3,3,1,3,0.28259178115850037
0,-0.23638549939877262,1,0.1885245901639344,2,1,4,1,0,5,0.2661397653514609
0,0.10058389759970357,3,0.06557377049180328,2,2,5,2,1,3,0.20071049775793937
0,-1.2472936903942013,1,0.008196721311475405,3,2,4,2,0,5,0.2088187718831262
0,1.4484614855936084,1,0.04098360655737705,3,4,4,4,0,5,0.33931898687524314
0,1.7854308825920846,1,0.032786885245901634,3,3,3,4,1,5,0.3233481439013903
0,0.5498764269310051,3,0.008196721311475405,3,2,3,2,0,3,0.19356456929912572
0,-0.9103242933957251,3,0.07377049180327869,3,2,3,2,0,2,0.18995065419029875
0,2.0100771472577352,1,0.17213114754098363,3,2,3,4,1,2,0.19876533098548294
0,-1.2472936903942013,1,0.07377049180327869,3,2,5,2,1,3,0.19186510780319008
0,-0.011739234733121834,1,0.008196721311475405,3,0,3,2,0,2,0.1649808554638711
1,0.774522691596656,1,0.20491803278688525,3,0,3,4,1,5,0.17568951043223655
0,0.10058389759970357,1,0.19672131147540983,3,2,3,1,0,3,0.20214377853764412
1,-1.2472936903942013,1,0.13934426229508196,3,0,4,3,1,2,0.16762218718646985
0,-1.0226474257285505,1,0.07377049180327869,3,0,3,2,0,4,0.1772149306906366
0,1.336138353260783,1,0.09016393442622951,3,4,5,1,1,3,0.3344151190646819
0,-0.12406236706594724,1,0.07377049180327869,3,2,4,5,0,2,0.18924425152030142
0,-0.6856780287300742,3,0.04918032786885246,3,0,4,2,0,3,0.17188107864616395
1,-1.2472936903942013,3,0.04098360655737705,4,2,3,2,1,2,0.2029935092856119
0,-0.011739234733121834,1,0.0819672131147541,3,0,3,2,1,2,0.16714101435328324
0,0.5498764269310051,3,0.2213114754098361,3,3,4,6,0,3,0.28179323900980774
1,-2.1458787490568043,1,0.032786885245901634,3,0,3,2,0,4,0.15786564016462254
0,-0.23638549939877262,3,0.13934426229508196,3,1,4,1,0,2,0.2254345912078462
0,-0.011739234733121834,1,0.1557377049180328,2,0,3,5,0,5,0.1810847887958394
0,1.5607846179264337,1,0.02459016393442623,5,2,4,6,0,2,0.1994512582157702
0,0.43755329459817977,3,0.02459016393442623,3,3,4,2,0,3,0.3072851614488421
0,-2.1458787490568043,3,0.09016393442622951,4,0,3,2,0,2,0.1556133417965151
0,-1.0226474257285505,1,0.13934426229508196,2,2,5,1,0,5,0.20128381006982127
0,-0.6856780287300742,3,0.06557377049180328,2,2,3,5,0,2,0.21426523884600424
0,0.21290702993252897,1,0.008196721311475405,2,1,3,1,0,3,0.2417432789369152
0,-0.12406236706594724,1,0.20491803278688525,3,2,4,1,0,3,0.2014169004279367
0,-0.5733548963972488,3,0.06557377049180328,4,2,3,2,0,3,0.19947173365548027
0,0.10058389759970357,1,0.21311475409836067,4,1,4,4,0,3,0.2668052171420381
0,2.3470465442562114,1,0.008196721311475405,5,2,3,3,1,2,0.20127357234996623
0,-0.6856780287300742,1,0.07377049180327869,3,0,3,1,1,4,0.1926841253915928
0,-0.6856780287300742,2,0.02459016393442623,4,2,5,4,0,3,0.20895186224124165
0,0.8868458239294814,1,0.06557377049180328,3,1,5,2,0,2,0.19666659841520098
0,-0.6856780287300742,1,0.02459016393442623,3,0,3,1,1,4,0.17091873297979074
0,-0.4610317640644234,1,0.04918032786885246,3,1,4,7,0,3,0.2649317144085669
0,0.21290702993252897,1,0.09016393442622951,3,3,5,2,1,3,0.31806548045619276
0,0.6621995592638306,1,0.09016393442622951,3,0,3,1,0,5,0.1684616802145826
0,1.336138353260783,1,0.008196721311475405,4,3,3,1,1,3,0.2862875980261676
1,1.673107750259259,1,0.07377049180327869,4,2,4,3,0,2,0.19391265177419686
0,-1.1349705580613758,1,0.04918032786885246,3,0,4,2,1,3,0.1686971477712484
0,-0.5733548963972488,3,0.07377049180327869,4,2,4,2,1,2,0.19685087737259158
0,-1.1349705580613758,3,0.07377049180327869,3,2,3,2,1,4,0.21470546079977068
0,-0.6856780287300742,3,0.06557377049180328,3,2,3,5,0,2,0.22059214971641516
